,comments,likes
167,롤스가 앞에 오믄 누가 안 비켜 줄까요 ㅋㅋㅋㅋ 잘 못 건드렸다가 패가망신인데 ㅠ,3
168,12:51그것도 맞춤형으로 봐꾸면되요. ㅋㅋㅋㅋㅇㅖ를들어 자기목소리르ㅗ 녹음한다던갘ㅋㅋㅋ,1
169,벤틀리 컨티넨탈 gt 2020도 리뷰 해주세유 ㅠㅠ,1
170,"아벤, 812뭐 이런차들이 6,7억하는게 이해가 안된다...... 나같으면 무조건 고스트 살듯?",3
171,11:10 제네시스 지금도 독일 3사랑 가격 비비려고 하는데 비스포크한다고 영업구조까지 바꾸면 ㅋㅋㅋㅋ가격으로는 아예 벤츠 뺨 후릴듯 싶습니닼ㅋㅋㅋㅋ,1
172,사고날까봐 보는 것이 무서워요 ㅎㅎㅎ,1
173,못먹는 감 찌르는거 보는 중..ㅋㅋ,1
174,캬 gta에서밖에 못타본 차,1
175,이거랑 아반떼랑 고민중인데.. 음 그래도 연비 좋은 아반떼가 낫겠죠?,1
176,레인지로버가 승차감 더좋음,1
177,그릴 불빛 만드는거는 불법인데 순정으로 만들어 주셧네,1
178,엄청난 고급  차량에 그렇지 않은 옷 스타일..,1
179,모터그래프 시절에는 정보 전달 좋고 분석도 예리했는데 잡설이 많아 졌네요 인트로 영상도 너무 중간에. 많고,1
180,3천만원짜리 아파트에서 비피더스와 김밥을먹으며 롤스로이스 리뷰를 본드아.. 자전거를타면서 행복하다면 행복한것이고 롤스로이스를 타면서 불행하다면 불행한것이드아..  그러므로 나에게 롤스로이스는 신기루이며 허상이드아..  눈물이 난드아.,1
181,허세일뿐.... 디자인? 요즘 감성에 맞지않고 애플 테슬라 등 새로운 전기차 시대로 전환되면 역사속으로 사라질 것이야....,1
182,760li로 저렴하게 롤스를 즐겨라,1
183,이번 영상을 혹시라도 거짓말을 하신다 해도 확인할길이 없네요...^^;;평생 한번 타볼수는 있을려나...,1
184,오 ㅏ.... 미쳤나봐 개머싯어,2
185,끼어들기해도 치들이 다 비켜줄꺼다ㅋㅋ안전거리 100미터 항상유지 옆에는 붙지말자 기스만나도 그렌저 1대값나갈듯,1
186,1분 전? 롤스로이스? 이건 킹참지,1
187,돈이 너무 많아 썩어나는 사람들만 탈수 있는 차.. 2년 지나고 3년 지나면 애물단지 되는 차..  고장도 잘나서 유지비 수리비 억 소리나는 차..  일찌감치 맘을 접고 단념해야지 ㅎ,2
188,이차는 이제 재 찹니다....^^인감만 있음 그냥 확....ㅋㅋㅋㅋ,1
189,5:35 명언입니다 ㅎㅎ,15
190,고스트가 6억은 쫌 아니지않나?,2
191,4:47  모카를 접으시는게 아니라 노예계약쓰고 모카 수익 모두 반납해야져!!ㅋㅋㅋㅋㅋㄲ...어오.... 무서워,1
192,저차는 진짜 신발 벗고 타야..,1
193,고스트 연료 고급유가 필수 인가요?,1
194,아버지께서 차를 바꾸려 하시는 데ㅡ 롤스 추천해 드려야겠네요근데  . . 왜 욕먹을 것 같단 기분이 들까요?,2
195,시내운전에는 저만한게 없지요다 피하니까요ㅋㅋㅋㅋㅋㅋ,89
196,차안에서 스마트폰 같은 화면보면 멀미 100%직빵으로 오는데..이차 타면 스마트폰 봐도 멀미 안나나요?,1
197,롤스로이스는 핸들조향장치 필요없답니다....어차피 기사가 운전하니까,2
198,우린 프리미엄이야!!!!!!!!!!!!!,1
199,리모콘으로 자동주차가 되면 끝장날거같은데,1
200,창문열고 닫을때 진심 와 햇다,15
201,내가 돈 많으면 s클 신형 선택할듯,2
202,이래서 차 유튜버 하는구나,1
203,나라면 탈수있어~! 영지니어스,1
204,흰색이 진짜 왕이 타는 백마 같네ㅋㅋㅋ,2
205,혹시 어제 촬영하셧나용ㅎㅎ어제 고속도로에서 똑같은차 봣는댕,1
206,잘 끼어들수 있는이유 : 알아서 다 피해주니까,2
207,제네시스랑 비교를? ㅎ잘봤습니다,1
208,ㄹㅇ 꿈이다 꿈,1
209,우리집 햄스터한테 사준 차네요~,1
210,60억 있으면 유지가능하려나,1
211,테일램프 약간 벤츠느낌?,2
212,롤스로이스 타고 뒷 차에 바짝 붙어가면 어떻게 되는지 궁금합니다,9
213,저 차가 내 앞에서 알짱거린다면 앞차와 거리두기 확실히 하고 멀찌감치 피한다.,1
214,로또 1등 걸려도 못 살것 같은 차 부가티 엔진오일교체비용이 2천만원 타이어가 3천만원이라는데 롤스는 얼마나하려나??,2
215,저걸로 벽에 박으면 구독자 100만 돼는건데 ㅎㅎ,1
216,5:32 당연히 달라지겠죠..옆에 가고 싶지도 않을듯,13
217,아 괜히봤다..팰리 캘리그래피 계약했는데..그렇게 좋아보이던 차가..눈에 안들어와..싸구려 같애 ㅋ,2
218,"근대 롤스로이스같은 해외 고 배기량 차량들은 세금이 얼마정도 할까요? 분명히 엄~~청 비쌀텐데, 세금 낼 돈이 있으니 이런 차를 타는거 겠죠?",1
219,중간부터 싱크가 안맞네여 아쉬워요 ㅜㅜ,1
220,과연여기서 잘 끼어들기를 할 수 있을까? 깜박이를 켤때부터 홍해의 기적을 체험할 수 있을겁니다.,1
221,전 롤스로이스가 별로 없으면 합니다.많아지면 무서워서 차 못탈듯,1
222,진짜 ㅈ오옹오ㅗㅇ오오오나 갖고싶다,1
223,1:49 쯤 나오는 재즈풍음악 제목좀 알수있을까요???제발 ㅠㅠㅠ 고수분들 알려주세요ㅠㅠㅠㅠ,2
224,저렇게 시승기 용도로 사용된 차는 누가 구입하나요?,1
225,존나 가슴이 웅장해져,2
226,이동식 집 ㅎㄷㄷ,1
227,유튜브 선생님들은 이차를 논하지마세요 평생 벌어도 타보지도 못할차를 논해요,1
228,240개월 풀할부로 살수 있나요?,1
229,차는 굴러가면 되고 시계는 시간을 볼 수 있으면 되고 스마트폰은 통화가 되면 되고 컴퓨터는 엑셀이랑 인터넷되면 되고 가방은 물건 들어가면 되고 구두는 발 보호해줄 수 있으면 되고 옷은 추위를 피하게 해주면 되고 음식은 배부르게 해주면 된다는 식의 사고방식이라 난 저런게 이해가 안되네ㅎㅎ,1
230,형은 타보기라도 했지... 흑ㅠ,1
231,롤스로이스타니까 사람이달라보이네....,1
232,코치도어... 일반차는 못하죠. 불편함만 있는,1
233,이걸 구매하려고 보는사람은 한명도 없을듯 다 그냥 눈으로라도 만족하려 보는거임 ㅋㅋ,1
234,전 개인적으로 높은 가격의 차를 쓰는건 다른 사람을 협박하는거 같아서 좀 싫어요.수리비 니가 낼꺼 아니면 양보해라 라고.,1
235,"차를 사는게 아니고, 내 생활을 사는것이다 . 멘트 봐..",1
236,한차로 유투버님들 돌려찍기 ㅠ슬픈한국ㅠ,1
237,"졸음운전 유발 자동차, 운전을 하란건지 스릴있게 졸음 운전을 하란건지....ㅎㅎㅎ",1
238,아~ 저 하얀색 너무 예뻐요,17
239,저기 시승한데가 아마....우드 어쩌고저쩌고 일거에요..... 저 저기 가봤어요,1
240,4:48 형님 더 열심히 하셔야죠 ...,10
241,차를 사는게 아니라 생활을 사는거다...,1
242,어중간한 아파트 한채보다 더 비싼차,1
243,4:21 크 심장이 찌릿찌릿 간지가난다,1
244,이거 20년후에 중고차값 얼마죠? 2천정도 할려나,1
245,택시가 양보해주는 차,1
246,시승코스가 정해져 잇군요,1
247,네비가  별로여서 나는 '안' 살 겁니다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
248,언제 타볼수있을까?로또걸리면 탈수있을려나?,1
249,4:40 정말이에요? 시승차 제공하는데서 보험 같은 거 안되나요 @.@,1
250,짧지만 행복했다,1
