,comments,likes
69,"다마스를 운전하며 이렇게 해맑게 재밌다를 연호하는 여자생명체가 있다니 세상에.. 제 기억에는 그냥 악몽과도 같은 차였는데 말입니다. 몸을 구겨넣듯이 타야하는 거지같은 시트포지션과 운동 좀 했던 팔뚝으로 돌려도 꿋꿋이 버텨내는 논파워핸들, 그리고 무지막지한 소음과 속도감까지.. 아직도 다마스 운전대를 잡은 그 날이 저는 트라우마로 남아있는데ㅋㅋㅋ 아무튼 정말 차에대한 지식도 많으시고 공부도 게을리하지 않으시는 것 같네요.  구독 누르고 갑니다!",1
70,재밌게 잘보고 갑니다^^,1
71,뭔데 이렇게 귀엽죠?ㅎㅎㅎ 네이버에서 보고 유투브로 바로 넘어왔습니다. 라임님 너무 귀여워서 아빠미소지으면서 보게되네요 ㅎㅎㅎㅎ,1
72,우와 매력 쩐다 여성 수동운전자 ♡,1
73,34:10 참 속상하다고 하실 때 다마스 두 대 더 ;; ㅋㅋㅋㅋ 코코님 라이브방송 보고 라임님 생각나서 와봤어요. 그러고보니 고속도로 타고 인덕원쪽으로 오셨네요? 너무 익숙한 광경... 사무실이 제 집에서 얼마 안 먼가봐요,1
74,우와~~~이만한 슈퍼카가없죠 ㅎㅎ,1
75,처음에 뭐지 이런 채널은?! 했다가 끝까지 보게 되었네요..리뷰 잘하시네요. 구독하고 갑니다~!,10
76,다마스 리뷰 잘봤습니다전 다마스를 딱 10일정도...타본적이 있습니다.제차 공업사에 넣고 엔진부터 구석구석 수리하느라...출퇴근에 탈차가 필요하다 했더니렌터카로 연결안하고...다마스7인승을 주시더군요길들이기 다된 10만킬로넘은 차인데차도 작고 커브돌때 간담이 서늘해지는차량입니다만적응되면 마치 슈퍼카 타는듯한 3기통의 고알피엠소리와 후륜구동이다보니어디놀러가서나 드라이브때 재미나게 탔습니다.전 이차 LPG라 연비가 안좋을거라 생각했는데처음 만땅충전후목적지 다시 충전하니...무려 15.5가 나오더군요...연비와 경제성이 모든 단점을 뒷받침 해주는것 같습니다^^승용 다시 생각해봐야겠지만레져용 세컨카론 괜찮은것 같아요(아 그리고 다마스도 렌트카 됬나요?!),2
77,"깜찍하시네요, 잘 보고 갑니다!!",116
78,진행하시는분 너무 귀여우시네요(헤헷)ㅎㅎㅎ 다마스 궁금했었는데 정말 노파워 핸들이군요....리뷰 잘 보고 갑니다.,1
79,우와 ㅋㅋㅋ 이런리뷰 처음!! 리뷰 많이 보는데 정말 신성하네요! 즐겨볼게요 수고해쥬새요!!,1
80,우연히 보게 됐는데 처음부터 끝까지 밝고 명량함을 잃지 않고 설명을 잘 하시네요선천적으로 타고 나신건가요 아니면 노력으로 만들어진 결과물(?) 인가요 ㅋ.ㅋ아무래도 요즘 먹고 살기 힘든 부분이 있어서 그런 것도 있겠지만 요즘 20대 중에 표정 밝으신 분이 많이 없다보니 신기해서 이런 게 궁금해지네요덕분에 그냥 영상 한 편 봤을 뿐인데 제 기분도 밝아진 느낌이에요감사합니다,1
81,예쁘신 미모와 상냥한 말씨로 다마스에 대하여 설명해주시니 더 감사하고 또 아리다운 여인께서 수도 스틱을 배우셨데요 정말 흥미롭게 보았네요 감사해요,2
82,다마스는 안전만 조금 신경써준다면 더 팔릴거같은데....,2
83,ㅋㅋㅋㅋ 너무 귀여워요 잘 봤습니다,1
84,미스 달구지님 설명 잘하시네연!,2
85,영상업로드 기다렸어요_!!! 으잉? 다마스? 신박한 주제 예쁜 리뷰 잘어우러집니다 잘봤어요~,1
86,이분 진짜 귀엽다 일단 합격,3
87,자동차 시승기 끝에 감동이 있네요~ 눈물 날뻔~~,1
88,수동유저 완전걸크러쉬시다ㅜㅜ 저는 촬영장비랑 개인짐이랑 많이 싣고 방방곡곡 다니려구 다마스를 고려했었는데요.. 수동이 겁나고 무서워서;; 아쉬운대로 승용차를 샀지만 뒷자리 접구 이용중이에요ㅋㅋ 만약 다마스를 샀더라면.. 캠퍼스 유명인사가 됐겠죠ㅋㅋ,1
89,운전 잘한다 ㅋㅋ대박,1
90,"목소리가 귀엽고 이뿌십니다 매력에 빠져서 구독 합니다 ㅎ 다마스 예전에 아르바이트 할때 많이 탔지만 기동성(골목길),경제적인건 인정합니다 ㅎ",1
91,ㅋㅋ 리뷰왕이 되는 단계 ㅋㅋ,4
92,그 어떤 리뷰보다 더 집중해서 봤네요다음 리뷰도 기대됩니다,1
