,comments,likes
125,렉스턴이 가솔린으로 나왔다면 바로 예약걸었을텐데 아쉽네요ㅜㅜ,3
126,익스테리어는 역대급으로예쁨. 인테리어는 안습.. 요즘 네비를 저런식으로 넣어주니 10년전차로 보임.,4
127,차가괜찮아도...회사의 불안한 미래때문에 꺼려지는...;;,6
128,"1:29 .... 잠시후함께 ........ 느껴보시겠습니다이거 룰라의 3!4! 인트로 맞추기 게임보다 난이도가 높은 ""느껴보시겠습니다"" 게임인듯.저 이번에 맞추기 실패함. ㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",46
129,선추천 후감상!오늘의 영상 요점——>  더블 드래곤,1
130,스티어링은 트럭중에선 당대최고 .... 개취니 이해하세요.,2
131,쌍용차하면 약간의 오프로드도 가능한 차를 생각하게 되는데승차감쪽으로의 강점 괜찮네요~~현대기아차 승차감이 단단해서 좀 그래요 (특히 싼타페TM 2열은 허리나갈것 같음;;)쌍용차 조용하고 승차감 좋은 편안함을추구하는 브랜드로 가보는것도 좋겠네요쌍용차 꼭 잘 되길 바랍니다!,8
132,비운의 자동차가 되겠네요 ㅠㅠ,5
133,그래도 조금 비싼 느낌이 있습니다. 이젠 디젤 말고 가솔린 하이브리드도 만드시길,5
134,발진......순항미사일인줄 알았네요 렉스턴은  무기체계로 비유하자면..........60톤..전차라고 해야 할까요....,3
135,돈이 있다면 사고싶은 모델이지만..,1
136,킹블드래곤은 인정이지ㅋㅋㅋ,16
137,"실제로 내부 보면 부 좋아진것은 맞으나.. 이상하게 어르신 차 이미지가 각인되서... 브랜드, 차이름 빼면 정말 좋은차. 마치  24시간 내내 집에서 트로트 방송보는 아줌마의 남편차 이미지랄까?",4
138,디자인은 현기 다이겼다.... 진심으로 참고로 나 모하비탐 ㅠ,3
139,변속기 반응 보니까 현대기아 파워텍 변속기는 양반이네 ㅋㅋ우우웅~~ 우웅 소리는 나는데 바늘은 안움직이고 차는 그대로고상품성이 괜찮은데 브랜드 이미지 때문에 안팔리는게 아니었다,3
140,마지막 모델이 될듯 이젠 국민도 단념했을듯,5
141,3:29 각자 갈길 가는 타코미터 속도계........ㅋㅋㅋㅋ차라리 비디오겜이 더 사실적인데여......ㅋㅋㅋㅋ10:13 타코미터만 보면 CVT인줄......ㅋㅌㅋ,20
142,아직도 갈길이.. 좀 느껴지네,3
143,진동이 어마어마하네요... 그 진동이 스티어링 센서까지 움직이다니..,3
144,뷰티풀코란도를 실내는 그대로 가고 외관은 저런 디자인으로 진작에 하고 이름을 코란도B나 올뉴코란도 라고 했으면 판매량 좀 많이 나와서 티볼리랑 쌍두마차 갔을텐데 에휴.......,1
145,떠블드래곤 께임 얘기에 빵터졌습니다. ㅎㅎㅎㅎㅎ앞으로도 살짝유머 부타드려봅니다.,1
146,정말 센터페시아 랜드로버 처럼 만들지  저게 뭡니까~완전90년대 디자일  어이쿠,2
147,누가 좀 인수해서 잘나가면좋겠다 현기말고도 대안 찾고싶은데 ㅠㅠ 없으니 몰려서 현기가 저렇게 기세등등한거고,1
148,쌍용차의 최대의 장점은 튼튼함과 안정성이다.단점은 장점빼고 다 단점이다.ㅋ,4
149,렉스턴 첨보신다면은 신세계패러디한 광고 꼭 보세요ㅋㅋ  개웃김,42
150,03:00 패들도 있죠? 요새 거의 모든 국산차가 있는거지만 쌍용차라 그런지 새로운 기능을 본듯한 말투임 ㅋㅋㅋㅋㅋㅋ,6
151,뒤에 rexton 없애고 porshe로 바꾸면 카이엔인줄 알겠어요,1
152,쌍용 짠하기도 하면서 응원하고 싶다가도 정신 못 차리는 노조 보면 개빡치는데 어쩌지?,5
153,ㅋㅋㅋㅋㅋㅋㅋ각자의 길을 가는 엔진과 타코미터....... 쌍용은 늘 실내에 조잡한 느낌의 무광 은색 플라스틱을 넣어서 전체적인 마감이 안좋아보이는 ㅠㅠ,7
154,타코미터는 오차는 충격적이네요,3
155,"쌍용차 사면 고장날때까지 타게된다는 장점이있음..왜냐하면 중고로 팔고싶어도 개똥값이라 ,그냥 타게 됨.평생 안고갈수도 있다는 장점이 있음",68
156,피디님  이두 삼두 운동 따로 하시나요? 부럽네용,1
157,오~  현대기술이 들어간 미션~현대미션  들어간 것도 예기좀,3
158,이전 모델 렉스턴을 아직도 못 버리는 이유가 아직도 100만을 못 탔다는 것과 15년 이상 된 차지만 고장 없고 요즘 차들에 비해 출력도 부족 하지 않고 연비도 아직 10~11 킬로 정도 나와 주는 효자 같은넘이 너무 좋아 버리지를 못합니다. (04년식 뉴렉스턴 2700CC 42만 주행 썬루프뺀 노블레스 풀옵션 현재 시세 120만원 ㅠㅠ) 근데 올뉴 렉스턴도 100만을 지향 하고 나온차 맞나요? 현기의 8단미션과 현기의 디퍼 장착 한걸로 알고 있는데 현기 물미션이 100만을 버텨 줄까요?,2
159,내첫차로구입하고싶네요,1
160,얼굴도 잘생겼고 연봉도 높지만 집안이 개판인 신랑감.,6
161,가성비 갑인 자동차인듯.. 티볼리도 잘 타고 있습니다 ㅋㅋ 쌍용 죽지않았으면 좋겠습니다,7
162,마음 만은 소년이라고 쓰신걸 어디서 본 것 같은데 따블드레곤이라니..,1
163,현기였으면 개까였을텐데. 얼마나 불쌍했으면 기자님이 그래도 살려는 줄께 하는 느낌 ㅎㅎㅎ,11
164,마지막 렉스턴이 될지도...,8
165,"사전에 준비된 대본을 읽는것이 아닌 자연스런 발화의 과정이니 당연히 이해되는 부분이지만,  문장의 시작점에 '어떤' 이나 '그런' 을 빼고 말해보시면 좋을거 같습니다.특히 계속 등장하는 '어떤' 은 없어도 되거든요 .이번 영상도 수고하셨습니다",3
166,"어떻게 렉스턴이 모하비와 경쟁을 합니까?4기통 2,1570cc(202마력,44토크)  렉스턴  : 6기통 2,959cc (260마력, 56토크) 모하비",2
167,쌍용 주식 -52% 생각나네..ㅠㅠ 지금은 거래두 안됨..,1
168,차라리 현대기아가 인수해서 오프로드&클래식 쪽에 집중하는 SUV 전문 브랜드가 되었으면 좋겠네요,3
169,볼보 토르의 망치를 리어램프에 박아둠...헤드라이트의 디자인을 리어램프에 썼으니베낀건 아니라는건지...,4
170,쌍용은 대부분 디젤이라... 가솔린 모델출시좀ㅠ,3
171,현대차 기아차 분리 말고는 쌍용은 답이 없음,1
172,다른데는 왜 이렇게 리뷰를 못할까,1
173,"개인적으로 디자인은 팰리,모하비,트레버스,카니발보다 훨씬 이쁘다고 생각하는데 디젤만 아니였어도 후보군에 둘텐데ㅠ",5
174,요차는 몇번 타봤는데 진작에 좀 이렇게만들지!! 으이구 쌍용아,1
175,전자식 계기판 rpm 반박자 느리게 따라오는 거 제발 해결 좀.....아님 미션까지 현대꺼 사다쓰니 현대 소프트웨어도 사다쓰던지......,2
176,뷰티풀 코란도만 아니었어도 ㅜㅜ,1
177,그래 저런게 쌍용이지,4
178,이제쌍용답게 만드는듯 제발 현기따라가지말고 예전처럼 쌍용색깔답게 나아갔으면' 합니다,1
179,오토뷰가 더블드레곤을 좋게 말하다니.  어렵긴 어렵구나?,3
180,회사가 기로에 있는데 회사의 주력 상품 홍보하는게 무슨 의미가 있는가.... 회생을 2번 하는 회사는 거의 못본거 같다......끝났다는 얘기이다....,3
181,현직 쌍용차직원 렉스턴을 만들고있습니다.리뷰 따뜻한말씀 감사합니다^^,5
182,쌍용차는 중고로 쌔거 같은 중고 뽑으면 우와~~~ 생각보다 괜찮다~~ 그러고 재돈주고 사면 아씨... 머야 이것도 안되고 저것도 안되고 되는게 없네~? 이런다 ㅋㅋㅋ,19
183,"뉴체w 그리고 와이프는 g4렉스턴.쌍용 특유의 든든함과 벤츠와 공유하는 플랫폼,엔진,밋션(구형)덕에 되려 더 안심하고 선택하고 비싸돈 주고 샀고 지금도 만족함.다만 지금 쌍용차 사태와 오리지날 귀족노조 때문에 안,밖으로 싸우는 형국때문에 불안함.",7
