,comments,likes
121,개인적으로는 eqc보다 재규어 i페이스 인테리어가 더 고급스러웠어요. 뭐 둘다 가성비 최악이긴 해요.,5
122,왜 뒷모습은 얘기안해주세요ㅋㅋㅋ 뒤는 그냥 스포티지잖아;;;;ㅋㅋ벤츠심볼 없으면 그냥 스포티지임;;ㅋㅋㅋ,8
123,타이칸 사겠다,5
124,E클에 달려있는 거지같은 HUD도 없다니 충격적이네요.,5
125,국간차와 외산차 대하는 태도가 일관성 없어보이네요.국산은 개 무시외산은 적당히 살짝 맛사지...저만의 느낌일까요,8
126,메카닉적인 부분은 기존자동차회사들 역사가 있으니 테슬라가 따라가기 힘든건 당연한데....이부분은 사실 테슬라가 현기한테도 몇수는 밀리는 부분이기도 하고ㅋ근데 그 역사짧은 테슬라의 자율주행이 이렇게 따라가기 힘든 기술일줄 누가 알았을까요ㅋ,3
127,오늘 정말 전기차와 자율주행차에 관해서 전체적으로 좋은 말씀 많이 해주셔서 좋네요! 결론은 EQC는 아직 미완성작인 걸로.. 벤츠가 완성되지 않은 차를 시장에 내놓다니 이만큼 어색한 일이 있을까요? 벤츠도 급하긴 급했나봅니다.,4
128,너무못생겨서관심도안가요ㅋㅋ,7
129,자율주행은 테슬라가 갑인거 같네요. 독일차들 수준 보니깐 솔직히 국산차랑 큰차이 없는 매우 낮은 수준으로 없는거나 마찬가지 같습니다.,7
130,전면디자인이 그리 이쁜것같진 않아보인다...,1
131,워워  ㅋㅋ 그냥 웃지요,1
132,두 헤드램프부터 사이를 잇는 그릴 상단의 DRL은 넥쏘 카피?,6
133,아니 시승영상을 찍으면서 모자이크 처리를 하는건 뭔가요?,1
134,아이폰 나오고도 UI를 연아의 햅틱 정도의 세대인 구닥다리 플래시UI로 버티던 기존 자동차 메이커들은 반성해야 합니다.,4
135,다좋데...,1
136,제조사 SW 개발자로 일하는 사람으로서 크게 동의할 수 있는 말씀 해주시네요. 특히나 하드웨어가 기반이 되는 제조사들이 아직도 IT에 대해서 중요성을 잘 못 느끼고 있는게 현실이죠. IT처럼 투자 대비 고수익도 없는데 말이죠. 자동차 회사들 앱 보면 안타까운 부분이 많습니다. ㅎㅎ,8
137,정말 객관적이라고 보고있는 구독자인데 마감이 1억넘는 s나 x보다 마감이 훨씬 낫던데요?모델3 구매하시는분이라서 그런가요?,7
138,차는 벤츠지 라는 말이 슬슬 포르쉐로 바뀌어야 하지 않을까 싶다,4
139,쉐보레에 벤츠로고 붙힌것 같다,3
