,comments,likes
86,초반 BGM이 아련하네요마치 옛연인 만난것 처럼,2
87,포르쉐는 중고차값 방어도 잘 됨 ㅋ,1
88,"981은 코드네임이고, 718은 자동차명이고.718이 982이건 뭐..",1
89,0:55 자동차도 기자가 되는군요,33
90,포르쉐 리뷰 특징 : 주행테스트 할때 리뷰어 입꼬리가 내려오질않음,4
91,34:41 자리가 사람을 만든다,57
92,Gts는 가변 기본들어가지는걸로아는데,2
93,박스터 타려면 머리도 짧게 자르는 겁니다. 분데스리가 스포츠컷으로요,1
94,뒤에 친구 시강 쩌네요 ㅋㅋ,2
95,어??? 스포일러윙 시속 130쯤 되면 자동으로 올라가고 브레이크를 밟고 90키로 쯤 내려 가면 들어가는데... 4.0은 바꼇나요??? 그리고 브레이크를 안밟고 자연적으로 속도가 줄어들면 안들어가고 브레이크 밟는 순간 들어가는데.... 4.0은 바꼇나.,1
96,이쯤되면 루프트필터 기마뇽 대표님이 인수햇다는 썰이잇음 ㅋㅋ,1
97,자본주의 사회에 태어나서 포르쇄 정도는 몰수 있는 능력이 되어야 하는데  이 문명의 이기를  눈팅만 하고 있으니 통재로구나,17
98,트렁크까지 3인승ㅋㅋㅋㅋㅋㅋ,1
99,"우리나라 현대, 기아도 포르쉐 엄청 많이 따라갔죠! 완전 똑같지ㅋㅋㅋㅋㅋㅋㄱ옵션장난질이",1
100,5:40 편집자님 센스가ㅋㅋㅋㅋㅋ,2
101,데일리로 타기에는 911이 더 나은 것 같아요.,1
102,봄 여름 가을 배기음 소음 싫다 싫어 밤 새벽에 자고 있는데 이륜차 소음 들리면 살인충동이 일어나지 빨리 (전동)전기차 시대가 왔으면 한다,1
103,24:11 rmdps랑 동일한 구조같은데..  다른게맞는건가요?,1
104,이번영상은 광고 너무 많이 넣은거 같은데이번만큼은 광고제거하고 봐야할듯34:47,31
105,"21:51 나이가 먹을수록 고주파에 민감해 진다는거 같아요,,",5
106,와 진짜 너무 사랑스럽다..여친보다 사랑스러워..,7
107,카메라 좋은걸로 하신거 같은데 ㅋㅋㅋ,1
108,너무 예쁘다....,1
109,멋있는데 색상은 청소차네요..,2
110,다른 차였으면 개구리라고 했을텐데... 뭔가 멋지다...,1
111,차 또 살돈은 없어서 참는다!!,1
112,와 신형 박스턴데 911이 더 예쁜듯 ~~,1
113,감가따위는 신경안쓰는 여유가 있었으면 애초에 911을 사야하는거 아닌가..,1
114,뚜껑 안여는거 미세먼지 때문 아님??,1
115,박스터보면 아이오닉6 느낌나던데,1
116,배기음 미쳤다 ㅏㅏ,3
117,법규를 위반 할 때는 날개가 펴쳐져 있다 ㅋㅋㅋㅋㅋㅋㅋ,1
118,쿠키영상이 젤 잼있다에 손!!       어디 벤츠따위갓!,2
119,궁금해요쌍용자동차 티볼리 종류 사고 싶은데 사도 될까요?요즘 쌍용자동차가 상장폐지까지 하고 있어서 나중애 부품이 없어 수리하지 못할까봐요 어떻게 생각하시나요?,1
120,운전하는 게 되게 불편해보이는데시트를 뒤로 더 밀 수는 없는거죠?,1
121,이직하고 싶다,1
122,저의 드림카도 911  입니다.  그러나 더 여유가 된다면  페라리. 죠.,1
123,암행ㅋㅋㅋㅋㅋㅋ편집최고네요,8
124,어디 벤츠따위가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이번 쿠키영상 잼남,18
125,그래서.... 모카의 박스터 색상 초이스는 무엇일까요~~? ㅋ,1
126,"주유캡 20만 카본 스티어링휠 무료 , 가변배기 기본옵션이에요 ~^^",3
127,승가감이 달구지. 그렇타고 빠르지도않음,1
128,와 배기음 들으니까 가슴이 쿵쾅거리네요.. 부정맥인가...,1
129,법규를 위반할때는 가변스포일러가 올라온다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
130,곧 제가 사겠습니다,1
