,comments,likes
97,"GV70을 타보지 않아서 마칸과의 차이에 대해 논할수는 없지만, 마칸을 타본 느낌은 1억이나 주고 살만큼 가치가 있다고는 전혀 생각이 들지않음",16
98,한심하네요 비교 대상이 아니 두 차종을 놓고 비교 한다는 것이 ㅜㅜ,5
99,0:47 와 마칸이 좋은거라고 서서히 상승하네 가끔씩 놀라는거지만 모트라인영상미 쩜,60
100,gv70 구매자들은 마칸이랑 비교 안하고 마칸 구매자들도 gv70이랑 비교 안함.,14
101,가격차이보니 비교대상이 아니네. 우리가 쏘나타랑 e클래스랑 크기가 비슷하다고 비교대상이라고 하진 않죠.,6
102,가칭 GV70 n 나오면  DCT 넣고. 엔진스포츠튠 조금 들어가면. 벨로스터n에서 느낀  그 느낌 나겠네요.,2
103,마칸 GTS 랑 테슬라 X 중 어느걸 선택하는게 좋을까요? 너무 다르긴 하지만..,1
104,마칸 살사람은 마칸이랑 카이엔이랑 고민을 더 많이하죠ㅎㅎ마칸 gts랑 가격이 거의 비슷하니까...좀더 밟는거 좋아하면 마칸으로가정을 꾸린사람은 카이엔으로,2
105,이렇게 제네시스랑 포르쉐랑 같이 이야기하는 것 자체가 현대에겐 개이득현까들에겐 지옥,1
106,와  죽이네요 문제있는차보다 돈좀더 있다면 마칸구매하고싶네요,2
107,와....말 또박또박 잘하네...음량을 적게틀어도 귀에 쏙쏙 박힙니다...칭찬입니다..,15
108,가격도 가격인데... gv70하고 비교하면 마칸 gts말고 그냥 마칸으로. 해줘야되는거 아닐까?... 가장갭이 적은걸로 비교해주야지,1
109,gv70 3.5 겁나 잘나감.. 마칸2.0도 보았지만.. 그거보다는 한표줄수있을듯,2
110,GV70가 Acura RDX보다 좋다면 그것만으로도 성공인듯.,1
111,차량가격은 그리부담되지않는데 수리비가  부담되는...,2
112,아무튼 둘다타보고싶다^^.....,1
113,디자인은 g70이 취향저격이네,1
114,성로형님 질문 있습니다마칸 차는 아니지만소렌토2.5터보 보고있는데순정타이어가 너무 쓰레기던데2륜에 타이어를 바꾸는게 좋은가요그냥4륜을 선택하는게 좋은가요?,1
115,GV70이  6천만원대에선 좋지만1억2천의 마칸과는  비교가 안된다,1
116,마칸이 7500짜리가 어디있어..노말 베이스 모델도 기본옵 최소 9천부터 시작이고옵션좀 넣는다하면 1억~1억1~2천인데옵션값은 노말이 GTS보다 훨씬 비쌉니다 그래서 GTS가 가성비라는 소리가 나올정도인데 ㅋㅋㅋ,3
117,오늘 다시 한 번 알고 갑니다.성로님 에어서스펜션 성애자.ㅋㅋㅋㅋㅋ,4
118,Gv70과 x3 glc q3 등등 비교 가능한가요? 프로모션 받으면 실구매가 비슷한거로 알고있는데.,1
119,모트라인의 타이칸 리뷰도 꼭 보고싶네요.,1
120,"마칸은 완~전 넘사벽인데~gv70과 비교당하는(?)이유는...gv70이 솔직히 좀 비싸다고 느껴서겠죠?...당연히 마칸 기본이 7천 중반이고 옵션 넣으면 1억 가까이 하는 차이기는하지만...""넘!사!벽!""인데 2~3000 밖에(?) 차이가 나지않는다(?)는거겠죠...?^^;;ㅎ",3
121,아직 현차가 갈길은 멀다고 봅니다..ㅠ포르쉐 벤츠 비엠 아이디 폭바 렉서스 토요타등~~ 더 분발하기를..ㅠㅠ,3
122,마칸은 진짜 포르쉐가 요리조리 치이고 치여서 낳은     괴물인듯,3
123,근데 디자인은 gv70도 만만치 않음. 마칸이 더 작아보이는 거 같기도 하고,1
124,"""조선의 마칸이다"" 라고 하는건 표현을 빌린거지 설마 진짜 마칸과 견줄수있다고는 생각안할거에요 ㅋㅋ",42
125,마칸은 검은색이 너무이뻐 했는데 빨강도 미친듯한 아름다움이넹,2
126,이거 보고 gv70 나왔다 와~ 하던 게 엊그제 같은데 왜 벌써 1년이...???,1
127,RPM 올라가는게 저울인줄. 지렸...,3
128,"두차를 비교 하는건 아니죠 ... 컨셉이 다른데,세상에 나쁜차는 없다 ...제네시스 스포츠가 나오면 뭐 상품비교는 해볼수 있을까?",2
129,ㅋㅋㅋㅋㅋ무채색만 있는 도로에서 빨강이가 있으니까 너무 멋있네,14
130,깡통 마칸은 마칸이 아니라는 말이 와닿네요.,9
131,마칸 색상 이쁘네요^^70화이트 스포츠 패키지 계약자인데빨간색 넣고 싶네요,5
132,gv70은 인피니티 fx37이랑 비교해도 최신옵제외하고 더나은점도 없을듯,1
133,아니 형님 마칸이랑은 돈차이가 너무 나지 않습니까 ㅠㅠ,1
134,제목 보면 볼수록 미쳤다 ㅋㅋㅋㅋㅋㅋㅋ,14
135,믿고 보는 모트라인~~,1
136,gv70가격 까려고 검색해서나오는 가격보고 마칸이랑 가격이똑같네 이러는거보고 얼마나웃기던지 매장가서 견적도안받아본사람들이  ㅋㅋㅋㅋㅋ,1
137,아무리 그래도GV70하고 마칸하고  ㅋㅋ넘사벽이란말이  딱 이네용,1
138,차 사이즈만 비슷하지 그외에는 동일 선상에 놓을수 차구만...조선의 마칸이란 말 자체의 어감도 마칸하고 쪼금 비벼 볼수 있다지  마칸급이다가 아니었죠이건 괜히 가만히 있는 g70 엿먹이는 것같은데요,4
139,그쵸... 이게 마칸이죠...GV70 은 맛간(맛이간)이죠...,17
140,벤츠와 BMW 조차도포르쉐에게는 안됩니다.브랜드 레벨시장에서 소비자가 수용하는 가격등그럼 포르쉐도 페라리와 람보르기니그리고 부가티에게는 같은 처지,2
141,사실 gv70만 해도 개 좋은 차임. 인터넷에 너도나도.  독일차얘기 하니 만만하게 보일뿐 .  실제 타보고 운전해보고 견적 내보면.   만만하게 볼 차가 아님.,7
142,전 스포츠 크로노도 없고 PTV도 없는 디젤 사서 잘 타고 다녔는데 ㅜㅜ,2
143,애초에 제네시스 경쟁상대가 독3사랑 렉서스에 대항하기위해 만들어진건데 벌써 포르쉐랑 비교는 너무 이르지,1
144,마칸GTS 가 아닌 그냥 마칸 타는 애들은 패션카와 브랜드 좋아 타는 사람들인걸로.. ㅎㅎ,3
145,포르쉐는  달라  타보면 알아 미션체결감  미쳤는데,1
146,"마칸은, 아니 뭐 포르쉐는, 차 가격보다도 유지비가 도저히 감당이 안됨. 오일필터 하나도 포르쉐에서 나온걸 써야 하는데, 가격들으면 기가막힘. 미국에서 의사하는 동생이 마칸을 일년반 정도 몰다가 유지비 열받아서 처분하고, 지금은 테슬라타고 있음.",3
147,현대 기아는 좀 좋은차 나오면 독일차랑 경쟁하고 비교하는데 정작 독일 브랜드들은 한국차를 경쟁 대상으로 생각 안하는듯,1
148,레드 마칸 절라 갖고싶다 아흐~~넘사벽 디자인,1
149,성로형 잘한다~ 설명 조쿠요오~~~~ㅎㅎ,2
150,20년넘은 포르쉐도 gv70보단 반응이고 직결감 좋음,1
151,가격이  비교대상 차량은 아닌데..,172
152,돌려깎이 장인...성로포스트,19
153,"영상정말 잘봤습니다관심없던차인데 관심가도록 잘찍어주셨네요혹시 마지막에 bgm  가수와 노래제목 알수있을까요,,?아시는분 알려주세요 ㅜㅜ",1
154,역시는역시지!!!포르쉐는단점이없다...단점이있어서도안된다!!!^^포르쉐는!!!^^,2
155,70은 304마력이고 마칸 가격이 넘사벽이구만~,3
156,마칸 관심차종인데 리뷰 감사합니다.,1
157,좋은정보입니다 이건 👍,2
158,"자기만의 감성을 존중해서 비산 가격임에도 산다고 하면서 왜 절반 가격 차랑을 비교하는 건지.. 능력이 안되는데 비교 할만큼 나왔다면 오히려 없던 관심도 생기네요. 그리고 유럽 인건비 및 제조기업 제작비용, 물류비용 감안하면 그들이 느끼는 1억이랑 우리 1억은 다름니다. 기술자에 대한 처우나 공임 대가도 분위기가 달라서 유럽에서 간단한 시공 정비 비용이 만만치 않다고 생각하면 단순 고가이니 더 우수한 성능일거라는건 아닌 것이고 차주의 성향을 고려해야 하지 않을까 생각됩니다.",1
159,조선의 마칸.. 비교가 되야지 뭐 그런가 생각이라도 해보겠는데 이건 뭐... 할말이 없어서...  ㅋㅋ 근데 그걸 또 리뷰해서 요목조목 차이점을 설명해주시는 윤대표님 친절도 하셔라 :-) 리뷰 잘 봤습니다~,1
160,2분전은 못참지잘볼게 햄톨형!,1
161,흠... CV70이와 80이 세단 두대 살 수있는 가격이네 ㅋㅋㅋ 고민된당.,1
162,70도 완전좋은찬데 마칸은 더좋은차죠,1
163,구독박아야겠다 내 기준 영상 10개 찐으로 잘 보고 가면 구독박는데 이건 못참지,2
164,일반 마칸도 아니고 GTS네 다를 수 밖에 ㅎㅎ,1
165,Ppl 너무 자연스러워요 드라마 뺨침ㅋㅋㅋㅋㅋ,2
