,comments,likes
196,"영상 중간에 죄측에서 핸폰하는 아가씨랑 우측에서 커피마시는 남정네 은근 계속 눈길이가네요ㅋㅋㅋ 하튼 잘봤습니다!  그리고 1,2부 동시에 좀 올려주세요ㅎㅎ",1
197,저분 말 하나는 끊기지않고 부드럽게 잘하시는거 같음.,3
198,잘보고갑니다😊,1
199,롤스로이스에 타서 눈감고 있으면 전쟁나도 모른데 ㅋㅋㅋㅋ,1
200,기돈성님 싱글벙글ㅋ,1
201,정말사고싶다 얼마정도하나ᆢ ㅠ,1
202,차를 모르는 저도 이해가 되네,1
203,시계 이쁘다,3
204,옷 멋있으세요~ㅎㅎ,1
205,찾았다 내 다음 생의 차 일단 이번생은 늦었고 남은생 덕 많이 쌓아서 다음생은 금수저로 태어나야디,2
206,박기던 기자님으로 정정,1
207,롤스로이스 팬덤 드롭헤드 쿠페도 리뷰해주세요,2
208,흙흙 마이 드림카..흙흙 열심히 돈모으지만 부족해서 gta5에서 롤스로이스 던이 모티브인 이너스 윈저 쿠페 타고 자기만족 하는데... 아..,1
209,16:14ㅋㅋㅋㅋㅋㅋㅋㅋ,2
210,차에비해.... 매강이 너무 좁.....,1
211,최재준씨 차설명할때쯤 뒤에서 커피마시는분 곽한구아님??,2
212,14:5514:5514:55,1
213,지붕있는 모닝 살란다,1
214,차안에 사치로 도배되있는 차가 롤스로이스인데 결국 제아무리 예술품이건 장인이 만들었건 스페샬에디션이나 한정판 혹은 올드카가 아니라면 감가상각이 아파트한채 그냥 날려버리는 귀중한 차는 아닌거 같네요...이탈리아나 영국은 저렇게 사치에 치중할때 일본이나 독일은 기술과 혁신에 치중하여 현제 영국과 이탈리아 회사들과 엄청난 격차가 벌어진거 같네요 결국 독일 삼사가 페라리를 제외하고 산소호흡기를 달아준 꼴인데 이제 영국차라고 하기도 참 애매한 차 같네요 마세라티도 결국 미국에서 생산 미국식의 조립이니 향후 10년 뒤에는 자국을 기술로 생산할수있는 나라가 프랑스 독일 미국 한국 일본 정도로 축소될듯 ㅎㅎ,7
215,국내에 As센타있나요?,1
216,드림카가 생겼네요..,2
217,박기던 기자님,1
218,"딜러분은 정말 잘 설명해주시는데, 진행자분은 아이컨텍을 정말 많이 안하시네요. 이런 최고급 승용차를 리뷰할 때는 좀 더 용모에 신경 쓰시고, 또한 ""뽀대"" 같은 비속어를 안쓰시면 좀 더 완성도 있는 시승기가 되지 않을까 싶습니다.",27
219,소프트탑은  자동세차 불가죵?,1
220,롤스로이스 던 & 더머,1
221,저런차에 현대마크를 달아놓으면 어케될까?,4
222,얼마이에요??,1
223,던 리뷰를 보는건지 역사학원왓는지..으그,1
224,00:35초 전에 브금이....너무 심각하다..,1
225,오늘형돈형님 기분업된거 너무 티나네요시작부터 김흥국  박명수마냥 돈드립   막 들이데고요 ㅋㅋ,1
226,이차 얼마야~~~,1
227,지금은 돌아가셨을것 같은데...  누가 제작 하시나요?,1
228,동영상의 반이상을 롤스로이스 ‘던’이랑 상관 없는 얘기 하네요 그리고 발음상으로도 ㅗ보다는ㅓ 랑 가까워서 이상한 소리 하는거 맞습니다...,1
229,"딜러분이나 상대방이 성의껏 설명해주실때,대화할때 아이컨택에 좀더 신경써서 해주셧으면...",1
230,인생차 k5,2
231,경청을 배우자 ㅋ,3
232,코너 맥그리거 차,1
233,진행자가 노가다 아져씨 같음...  옷이 너무..아재같은.....,6
234,제일 처음 노래이름이 뭐에요?,1
235,2부 빨리빨리,1
236,반박자 느리다더니 뒷자리 탈때 앞자리 의자 접히는거 경박스럽네...어짜피 유튭 보는 사람은 저거 살 일 없다는거...,2
237,아니 던 이라고!!,4
238,걍 정식 발음으로 쳐 읽지 '돈' ㅇㅈㄹ~,2
239,"시승기가 뭐 이렇게 허접해! 겁 모양만 보고 ""우와 우와 ""만 해 평가를 해야지",1
240,판테온신전이에요,1
241,ㅋㅋ돈이아니라 던인데,3
242,말은잘하는데 청바지는 좀 아닌거같아,1
243,어떤 정신나간 사람들이 이걸사나?,1
244,나도5억들이면 저런차만들어ㅋ,2
245,잘차려입은게  ㅋㅋㅋ  저렇네,18
246,뒤에 종이컵 저 인간은 뭐냐,1
247,계속 돈이래 ㅋㅋㅋ ㅡ우기기,1
248,모트라인 짭인가?,1
249,01누에0169 롤스로이스 고스트 우리아버지찬대 왜 찍힌거야,1
250,쌋다...,1
251,차만보여주지 뭔 쓸데없는걸 이렇게많이 짝어놧냐  개노잼이네,1
252,과장이라는분 문재인 닮으셨네,4
253,차내부를 신경써서 보여줘야지 본인 얼굴에만 앵글을잡네 짜증나서 바로 꺼버림,1
254,쓸데없는 말이 너무 많아,31
255,Deez nuts,1
256,존나 답답하네,1
257,Umm hello. Anyone?? Please...,3
258,앞모습은 300c같고  뒷모습은 너무 노티나는데    디자인만 따지만 진짜 별론거 같은데,3
259,뻔한 내용으로 말 많이 하는건 어느 분야건 영업하는 사람이면 저 정도 다 합니다..,1
